"ID";"idActaConciliacion";"FechaFactura";"MesServicio";"DepartamentoRadicacion";"NumeroRadicado";"FechaRadicado";"NumeroContrato";"NumeroFactura";"NumeroDiasLMA";"ValorAPagarLMA";"CodigoSucursal";"ValorDocumento";"Impuestos";"TotalPagos";"TotalAnticipos";"TotalCopagos";"DescuentoPGP";"DescuentoBDUA";"OtrosDescuentos";"AjustesCartera";"TotalGlosaInicial";"TotalGlosaFavor";"TotalGlosaContra";"GlosaXConciliar";"TotalDevoluciones";"ValorSegunEPS";"ValorSegunIPS";"Diferencia";"NoRelacionada";"idUser";"FechaRegistro"
"81";"21";"2016-01-23";"201612";"VALLE";"";"2016-01-01";"G-799-16";"98";"99176";"5950560";"76364";"5789408";"202629";"0";"5586779";"0";"0";"161152";"0";"0";"0";"0";"0";"0";"0";"161152";"5789408";"-5628256";"0";"3";"2019-10-02 21:17:08"
"80";"21";"2016-01-23";"201611";"VALLE";"";"2016-01-01";"G-799-16";"96";"99104";"5946240";"76364";"5789408";"202629";"9520";"5577259";"0";"0";"156832";"0";"0";"9520";"0";"9520";"0";"0";"156832";"5789408";"-5632576";"0";"3";"2019-10-02 21:17:08"
"79";"21";"2016-01-23";"201610";"VALLE";"";"2016-01-01";"G-799-16";"94";"100288";"6017280";"76364";"5789408";"202629";"0";"5586779";"0";"0";"227872";"0";"0";"0";"0";"0";"0";"0";"227872";"5789408";"-5561536";"0";"3";"2019-10-02 21:17:08"
"78";"21";"2016-01-23";"201609";"VALLE";"";"2016-01-01";"G-799-16";"92";"100172";"6010320";"76364";"5789408";"202629";"0";"5502051";"0";"0";"220912";"0";"0";"0";"0";"0";"0";"0";"305640";"5789408";"-5483768";"0";"3";"2019-10-02 21:17:08"
"76";"21";"2016-01-21";"201803";"VALLE";"";"2018-01-01";"G-799-16   OTROSI NRO 002";"146";"102570";"6198305.1";"76364";"5306957";"185743";"0";"5121214";"0";"0";"891348.1";"0";"0";"0";"0";"0";"0";"0";"891348.1";"5306957";"-4415608.9";"0";"3";"2019-10-02 21:17:08"
"77";"21";"2016-01-22";"201608";"VALLE";"";"2016-01-01";"G-799-16";"90";"98368";"5902080";"76364";"5789408";"202629";"0";"5586779";"0";"0";"112672";"0";"0";"0";"0";"0";"0";"0";"112672";"5789408";"-5676736";"0";"3";"2019-10-02 21:17:08"
"75";"21";"2016-01-20";"201802";"VALLE";"";"2018-01-01";"G-799-16   OTROSI NRO 002";"144";"100245";"6057805.35";"76364";"5306957";"185743";"0";"5121214";"0";"0";"750848.35";"0";"0";"0";"0";"0";"0";"0";"750848.35";"5306957";"-4556108.65";"0";"3";"2019-10-02 21:17:08"
"74";"21";"2016-01-19";"201801";"VALLE";"";"2018-01-01";"G-799-16   OTROSI NRO 001";"138";"98901";"5976587.43";"76364";"5306957";"185743";"0";"5121214";"0";"0";"669630.43";"0";"0";"0";"0";"0";"0";"0";"669630.43";"5306957";"-4637326.57";"0";"3";"2019-10-02 21:17:08"
"73";"21";"2016-01-18";"201712";"VALLE";"";"2017-01-01";"G-799-16   OTROSI NRO 001";"136";"102756";"6209545.08";"76364";"5306957";"185743";"0";"5136193";"0";"0";"902588.08";"0";"0";"0";"0";"0";"0";"0";"887609.08";"5306957";"-4419347.92";"0";"3";"2019-10-02 21:17:08"
"72";"21";"2016-01-17";"201711";"VALLE";"";"2017-01-01";"G-799-16   OTROSI NRO 001";"133";"102319";"6183137.17";"76364";"5306957";"185743";"0";"5121214";"0";"0";"876180.17";"0";"0";"0";"0";"0";"0";"0";"876180.17";"5306957";"-4430776.83";"0";"3";"2019-10-02 21:17:08"
"71";"21";"2016-01-16";"201710";"VALLE";"";"2017-01-01";"G-799-16   OTROSI NRO 001";"131";"100420";"6068380.6";"76364";"5306957";"185743";"0";"5121214";"0";"0";"761423.6";"0";"0";"0";"0";"0";"0";"0";"761423.6";"5306957";"-4545533.4";"0";"3";"2019-10-02 21:17:08"
"70";"21";"2016-01-15";"201709";"VALLE";"";"2017-01-01";"G-799-16   OTROSI NRO 001";"130";"100811";"6092008.73";"76364";"5306957";"185743";"0";"5121214";"0";"0";"785051.73";"0";"0";"0";"0";"0";"0";"0";"785051.73";"5306957";"-4521905.27";"0";"3";"2019-10-02 21:17:08"
"69";"21";"2016-01-14";"201708";"VALLE";"";"2017-01-01";"G-799-16   OTROSI NRO 001";"127";"102274";"6180417.82";"76364";"5306957";"185743";"0";"5121214";"0";"0";"873460.82";"0";"0";"0";"0";"0";"0";"0";"873460.82";"5306957";"-4433496.18";"0";"3";"2019-10-02 21:17:08"
"68";"21";"2016-01-13";"201707";"VALLE";"";"2017-01-01";"G-799-16   OTROSI NRO 001";"125";"99893";"6036533.99";"76364";"5306957";"185743";"0";"5121214";"0";"0";"729576.99";"0";"0";"0";"0";"0";"0";"0";"729576.99";"5306957";"-4577380.01";"0";"3";"2019-10-02 21:17:08"
"67";"21";"2016-01-12";"201706";"VALLE";"";"2017-01-01";"G-799-16   OTROSI NRO 001";"124";"102093";"6169479.99";"76364";"5306957";"185743";"0";"5121214";"0";"0";"862522.99";"0";"0";"0";"0";"0";"0";"0";"862522.99";"5306957";"-4444434.01";"0";"3";"2019-10-02 21:17:08"
"66";"21";"2016-01-11";"201705";"VALLE";"";"2017-01-01";"G-799-16   OTROSI NRO 001";"122";"99083";"5987585.69";"76364";"5306957";"185743";"0";"5121214";"0";"0";"680628.69";"0";"0";"0";"0";"0";"0";"0";"680628.69";"5306957";"-4626328.31";"0";"3";"2019-10-02 21:17:08"
"65";"21";"2016-01-10";"201704";"VALLE";"";"2017-01-01";"G-799-16   OTROSI NRO 001";"120";"1822";"110103.46";"76364";"5306957";"185743";"0";"5121214";"0";"0";"-5196853.54";"0";"0";"0";"0";"0";"0";"0";"-5196853.54";"5306957";"-10503810.54";"0";"3";"2019-10-02 21:17:08"
"64";"21";"2016-01-09";"201703";"VALLE";"";"2017-01-01";"G-799-16   OTROSI NRO 001";"118";"101121";"6110742.03";"76364";"5306957";"185743";"0";"5121214";"0";"0";"803785.03";"0";"0";"0";"0";"0";"0";"0";"803785.03";"5306957";"-4503171.97";"0";"3";"2019-10-02 21:17:08"
"63";"21";"2016-01-08";"201702";"VALLE";"";"2017-01-01";"G-799-16   OTROSI NRO 001";"114";"98468";"5950421.24";"76364";"5306957";"185743";"0";"5121214";"0";"0";"643464.24";"0";"0";"0";"0";"0";"0";"0";"643464.24";"5306957";"-4663492.76";"0";"3";"2019-10-02 21:17:08"
"62";"21";"2016-01-08";"201607";"VALLE";"";"2016-01-01";"G-799-16";"112";"94524";"5671440";"76364";"5789408";"202629";"0";"5586779";"0";"0";"-117968";"0";"0";"0";"0";"0";"0";"0";"-117968";"5789408";"-5907376";"0";"3";"2019-10-02 21:17:08"
"61";"21";"2016-01-08";"201606";"VALLE";"";"2016-01-01";"G-799-16";"110";"102960";"6177600";"76364";"5789408";"202629";"0";"5586779";"0";"0";"388192";"0";"0";"0";"0";"0";"0";"0";"388192";"5789408";"-5401216";"0";"3";"2019-10-02 21:17:08"
"60";"21";"2016-01-08";"201605";"VALLE";"";"2016-01-01";"G-799-16";"108";"101245";"6074700";"76364";"5789408";"202629";"0";"5586779";"0";"0";"285292";"0";"0";"0";"0";"0";"0";"0";"285292";"5789408";"-5504116";"0";"3";"2019-10-02 21:17:08"
"57";"21";"2016-01-08";"201602";"VALLE";"";"2016-01-01";"G-799-16";"102";"95078";"5704680";"76364";"5789408";"202629";"0";"5468811";"0";"0";"-84728";"0";"0";"0";"0";"0";"0";"0";"33240";"5789408";"-5756168";"0";"3";"2019-10-02 21:17:08"
"58";"21";"2016-01-08";"201603";"VALLE";"";"2016-01-01";"G-799-16";"104";"99730";"5983800";"76364";"5789408";"202629";"0";"5586779";"0";"0";"194392";"0";"0";"0";"0";"0";"0";"0";"194392";"5789408";"-5595016";"0";"3";"2019-10-02 21:17:08"
"59";"21";"2016-01-08";"201604";"VALLE";"";"2016-01-01";"G-799-16";"106";"99507";"5970420";"76364";"5789408";"202629";"0";"5586779";"0";"0";"181012";"0";"0";"0";"0";"0";"0";"0";"181012";"5789408";"-5608396";"0";"3";"2019-10-02 21:17:08"
"56";"21";"2016-01-08";"201601";"VALLE";"";"2016-01-01";"G-799-16";"100";"105383";"6322980";"76364";"5789408";"202629";"5586779";"0";"0";"0";"533572";"0";"0";"0";"0";"0";"0";"0";"533572";"5789408";"-5255836";"0";"3";"2019-10-02 21:17:08"
"55";"21";"2016-01-08";"201701";"VALLE";"";"2017-01-01";"G-799-16   OTROSI NRO 001";"148";"98284";"5939302.12";"76364";"5306957";"185743";"0";"5121214";"0";"0";"632345.12";"0";"0";"0";"0";"0";"0";"0";"632345.12";"5306957";"-4674611.88";"0";"3";"2019-10-02 21:17:08"
