"Mes de Servicio";"Departamento de Radicacion";"Numero de Radicado";"Fecha de Radicado";"Numer de oContrato";"Valor del Documento";"Impuestos";"Total Pagos";"Total Anticipos";"Total Copagos";"DescuentoPGP";"Descuento BDUA";"Otros Descuentos";"Ajustes de Cartera";"Total Glosa Inicial";"Total Glosa Favor";"Total Glosa Contra";"Glosa por Conciliar";"Total de Devoluciones";"Valor Segun EPS";"Valor Segun IPS";"Diferencia"
"201601";"VALLE";"162222";"2016-02-08";"G-706-16";"4482762";"89655";"4393107";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"201602";"VALLE";"162222";"2016-02-08";"G-706-16";"24598194";"491964";"23314800";"0";"0";"0";"0";"0";"0";"1796270";"791430";"1004840";"0";"0";"0";"0";"0"
"201601";"VALLE";"166603";"2016-03-08";"G-706-16";"1528484";"30572";"1497912";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"201602";"VALLE";"166603";"2016-03-08";"G-706-16";"1173618";"23472";"1150146";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"201601";"VALLE";"166616";"2016-03-08";"G-706-16";"40790";"816";"39974";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"201602";"VALLE";"166616";"2016-03-08";"G-706-16";"110757";"2215";"108542";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"201601";"VALLE";"166631";"2016-03-08";"G-706-16";"526266";"10525";"515741";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"201601";"VALLE";"166639";"2016-03-08";"G-706-16";"1775412";"35508";"1739904";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"201601";"VALLE";"166647";"2016-03-08";"G-706-16";"1750000";"35000";"1715000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"201602";"VALLE";"166647";"2016-03-08";"G-706-16";"2898465";"57969";"2840496";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
