Sede;Nit;"Razón Social";Radicado;Factura;"Fecha Radicación";"Valor Factura";"Total Glosado";"Total a Favor";"Total en Contra";"Pendiente por Resolver"
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15249;"F1  0000231432";03/01/2011;9105080,00;52710,00;52710,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15249;"F1  0000228934";03/01/2011;3345333,00;3345333,00;1170867,00;2174466,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15249;"F1  0000231152";03/01/2011;172230,00;35100,00;35100,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15249;"F1  0000231917";03/01/2011;58500,00;11700,00;11700,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15249;"F1  0000231129";03/01/2011;45600,00;30400,00;30400,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15249;"F1  0000231967";03/01/2011;210600,00;35100,00;35100,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15249;"F1  0000233200";03/01/2011;202740,00;75430,00;75430,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15249;"F1  0000231640";03/01/2011;3472000,00;295200,00;295200,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15250;"F1  0000228179";03/01/2011;2381676,00;1316269,00;425848,00;890421,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15250;"F1  0000230925";03/01/2011;17478661,00;1924752,00;825446,00;1099306,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15250;"F1  0000231916";03/01/2011;7955996,00;1709020,00;730954,00;978066,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15250;"F1  0000232160";03/01/2011;1988869,00;1705060,00;682024,00;1023036,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15250;"F1  0000231430";03/01/2011;8634453,00;3247405,00;1160661,00;2086744,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15250;"F1  0000229449";03/01/2011;924200,00;146800,00;58720,00;88080,00;0,00
